하루가 또 가네요.	하루가 또 갔습니다.
너에게 묻노라.	너에게 묻노라.
사랑에 정의는 없는거 같아요.	사랑에 정의는 없는거 같습니다.
사랑하는데 어떤 확신이 필요한가요.	사랑하는데 어떤 확신이 필요합니까.
당신만이 정답을 맞출 수 있어요.	당신만이 정답을 맞출 수 있습니다.
화학 물질이 접촉하는 것처럼 반응이 일어나서 완전히 바뀌게 되죠.	화학 물질이 접촉하는 것처럼 반응이 일어나서 완전히 바뀌게 됩니다.
사랑을 독차지하려 하지 말고 내려놓으면서 여유를 가지세요.	사랑을 독차지하려 하지 말고 내려놓으면서 여유를 가지시지 말입니다.
화학 물질이 접촉하는 것처럼 반응이 일어나서 완전히 바뀌게 되죠.	화학 물질이 접촉하는 것처럼 반응이 일어나서 완전히 바뀌게 됩니다.
당신의 이상형을 찾아보세요.	당신의 이상형을 찾아보시지 말입니다.
시간은 핑계예요.	시간은 핑계입니다.
확인 받고 싶어서요.	확인 받고 싶습니다.
서로 다른 두 사람이 만나는 거라 더 힘든 것 같아요.	서로 다른 두 사람이 만나는 거라 더 힘든 것 같습니다.
사랑을 쟁취하는 거예요. 붙잡으세요.	사랑을 쟁취하는 겁니다. 붙잡으시지 말입니다.
어떤 일이 있어도 보이지 않는 깊은 끈인 사랑이 둘을 이어줄 거예요.	어떤 일이 있어도 보이지 않는 깊은 끈인 사랑이 둘을 이어줄 겁니다.
충분히 아파하면서 충분한 시간이 필요할 거예요.	충분히 아파하면서 충분한 시간이 필요할 겁니다.
충분히 아파하면서 충분한 시간이 필요할 거예요.	충분히 아파하면서 충분한 시간이 필요할 겁니다.
그런 기쁨과 기적도 없을 거예요.	그런 기쁨과 기적도 없을 겁니다.
그 사람에게 찾아가 보세요.	그 사람에게 찾아가 보시지 말입니다.
감정은 감출수 있는게 아니에요.	감정은 감출수 있는게 아닙니다.
당신이 그 신호를 못 찾은게 아닐까요.	당신이 그 신호를 못 찾은게 아니겠습니까.
기한을 정하고 기다리세요.	기한을 정하고 기다리시지 말입니다.
슬픈 이야기네요.	슬픈 이야기입니다.
알아보지 못한 만큼 더 사랑해주세요.	알아보지 못한 만큼 더 사랑해주시지 말입니다.
그 사람을 사랑한다면 붙잡아 보세요.	그 사람을 사랑한다면 붙잡아 보시지 말입니다.
한눈 팔다가 후회합니다.	한눈 팔다가 후회합니다.
어서 어서 고백해봐요.	어서 어서 고백해보시지 말입니다.
당신이 그 사람 행복하게 해주세요.	당신이 그 사람 행복하게 해주시지 말입니다.
언젠가 그런 사람이 당신 옆에 있을거예요.	언젠가 그런 사람이 당신 옆에 있을겁니다.
진정으로 사랑한다면 결혼하세요.	진정으로 사랑한다면 결혼하시지 말입니다.
누구나 같을 수 있을까요. 자격지심이예요.	누구나 같을 수 있을까 말입니다. 자격지심이입니다.
행복한 상상은 현실에 반영된다고 해요.	행복한 상상은 현실에 반영된다고 합니다.
마음이 많이 아프겠어요.	마음이 많이 아프겠습니다.
듣기만해도 마음 아픈 말이네요.	듣기만해도 마음 아픈 말입니다.
모자라다고 생각하는 부분을 사랑으로 채워보세요	모자라다고 생각하는 부분을 사랑으로 채워보시지 말입니다
없어도 살 수 있는지 생각해보세요.	없어도 살 수 있는지 생각해보시지 말입니다.
그리우면 그립다고 말해보세요.	그리우면 그립다고 말해보시지 말입니다.
사랑과 결혼을 동일시하지 않아도 돼요. 시간을 가지고 생각해보세요.	사랑과 결혼을 동일시하지 않아도 됩니다. 시간을 가지고 생각해보시지 말입니다.
자신에 대해 자신감을 좀 더 가지세요.	자신에 대해 자신감을 좀 더 가지시지 말입니다.
따지기 시작하면 끝이 없어요.	따지기 시작하면 끝이 없습니다.
경제 감각이 없는 것보다 낫죠.	경제 감각이 없는 것보다 낫습니다.
불타오르는 사랑만 사랑인건 아니에요.	불타오르는 사랑만 사랑인건 아닙니다.
진짜 사랑한다면 그 모습도 사랑해주세요.	진짜 사랑한다면 그 모습도 사랑해주시지 말입니다.
진정한 사랑인지 생각해보세요.	진정한 사랑인지 생각해보시지 말입니다.
외롭다고 당신의 감정을 솔직하게 말해보세요.	외롭다고 당신의 감정을 솔직하게 말해보시지 말입니다.
잠시 휴식기를 가져보는것도 좋을거 같아요.	잠시 휴식기를 가져보는것도 좋을거 같습니다.
사랑에 지쳤나봐요.	사랑에 지쳤나봅니다.
사랑한다고 듣고 싶어서요.	사랑한다고 듣고 싶습니다.
사랑에서 가장 어려운 게 사랑을 계속 유지하는 거예요.	사랑에서 가장 어려운 게 사랑을 계속 유지하는 겁니다.
닮아가죠.	닮아갑니다.
그 사람만의 사랑 표현이에요. 대화로 당신이 원하는걸 말해보세요.	그 사람만의 사랑 표현입니다. 대화로 당신이 원하는걸 말해보시지 말입니다.
사랑이 모든걸 해결해주지는 않아요.	사랑이 모든걸 해결해주지는 않습니다.
당신의 삶이 달라져요.	당신의 삶이 달라집니다.
화학 물질이 접촉하는 것처럼 반응이 일어나서 완전히 바뀌게 되죠.	화학 물질이 접촉하는 것처럼 반응이 일어나서 완전히 바뀌게 됩니다.
사랑은 아무도 막을 수 없어요.	사랑은 아무도 막을 수 없습니다.
어쩔 수가 없네요.	어쩔 수가 없습니다.
위험한 사랑이네요.	위험한 사랑입니다.
사랑하면 예뻐지는 호르몬이 나온대요.	사랑하면 예뻐지는 호르몬이 나온답니다.
사랑하면 호르몬이 나온대요.	사랑하면 호르몬이 나온답니다.
사랑보다 좋은 건 없어요.	사랑보다 좋은 건 없습니다.
진정한 사랑으로 외로움을 극복해보세요.	진정한 사랑으로 외로움을 극복해보시지 말입니다.
감정에 솔직해 지세요.	감정에 솔직해 지시지 말입니다.
이제야 깨달았나봐요.	이제야 깨달았나봅니다.
당신의 감정이 어떤 것이였는지 생각해보세요.	당신의 감정이 어떤 것이였는지 생각해보시지 말입니다.
사랑한다고 말해 달라고 하세요.	사랑한다고 말해 달라고 하시지 말입니다.
솔직함으로 사랑을 쟁취하세요.	솔직함으로 사랑을 쟁취하시지 말입니다.
사랑한다고 표현해달라고 말해보세요.	사랑한다고 표현해달라고 말해보시지 말입니다.
사랑해요.	사랑합니다.
머릿속에 맴도는 것들을 입으로 내뱉는 거죠.	머릿속에 맴도는 것들을 입으로 내뱉는 겁니다.
받은 거보다 더 많이 해주고싶을 때요.	받은 거보다 더 많이 해주고싶을 때 말입니다.
감정을 표현한다는게 어렵죠.	감정을 표현한다는게 어렵습니다.
사랑한다는 말 아끼지 말고 언제든지 표현해주세요.	사랑한다는 말 아끼지 말고 언제든지 표현해주시지 말입니다.
당연하죠.	당연합니다.
나를 사랑하고 상대를 사랑하는 여유를 갖게 되길 바라요.	나를 사랑하고 상대를 사랑하는 여유를 갖게 되길 바랍니다.
나를 사랑하고 상대를 사랑하는 여유를 갖게 되길 바라요.	나를 사랑하고 상대를 사랑하는 여유를 갖게 되길 바랍니다.
사랑에 자격이 필요한가요.	사랑에 자격이 필요합니까.
사랑은 따지는 게 아니고 다 주고도 더 주지 못해 미안해하는 거예요.	사랑은 따지는 게 아니고 다 주고도 더 주지 못해 미안해하는 겁니다.
그 것도 사랑이예요.	그 것도 사랑이입니다.
상대방이 싫어할수도 있어요.	상대방이 싫어할수도 있습니다.
행복한 사랑을 하고 있네요.	행복한 사랑을 하고 있습니다.
상대방에게 전해보세요.	상대방에게 전해보시지 말입니다.
하늘 만큼 땅 만큼 사랑해요.	하늘 만큼 땅 만큼 사랑합니다.
얼른 만나러가세요.	얼른 만나러가시지 말입니다.
먼저 사랑한다고 말해보세요.	먼저 사랑한다고 말해보시지 말입니다.
꼭 사랑한다고 말해야 사랑하는건 아니라고 생각해요.	꼭 사랑한다고 말해야 사랑하는건 아니라고 생각합니다.
할 수 있을 거예요.	할 수 있을 겁니다.
부모님이 서운하겠네요.	부모님이 서운하겠습니다.
저 기분 나빠질거 같아요.	저 기분 나빠질거 같습니다.
사랑하는 사람과 함께 있고 싶은 마음이 있으니까요.	사랑하는 사람과 함께 있고 싶은 마음이 있으니 말입니다.
상대방을 배려하지 않은 사랑은 좋지 않은거예요.	상대방을 배려하지 않은 사랑은 좋지 않은겁니다.
그 사람의 사랑을 존중해주세요.	그 사람의 사랑을 존중해주시지 말입니다.
어쩐지 행복해 보이더라구요.	어쩐지 행복해 보이더랍니다.
슬픈 이야기네요.	슬픈 이야기입니다.
그 사람을 위하는 거라고 생각하면 가능하다고 생가해요.	그 사람을 위하는 거라고 생각하면 가능하다고 생각합니다.
진정으로 사랑한다면 그럴수도 있을거 같아요.	진정으로 사랑한다면 그럴수도 있을거 같습니다.
인연이라면 다시 만날수도 있어요.	인연이라면 다시 만날수도 있습니다.
서로의 선에 대해 대화를 나눠보세요.	서로의 선에 대해 대화를 나눠보시지 말입니다.
지금의 나를 인정하고 받아들이는 것 이상의 사랑은 없어요.	지금의 나를 인정하고 받아들이는 것 이상의 사랑은 없습니다.
남는건 사진뿐이 없대요.	남는건 사진뿐이 없답니다.
가랑비에 옷 젖는 듯한 사랑이었나봐요.	가랑비에 옷 젖는 듯한 사랑이었나봅니다.
그런 남자 저도 소개시켜 주세요.	그런 남자 저도 소개시켜 주시지 말입니다.
상처받지 않으셨으면 좋겠네요.	상처받지 않으셨으면 좋겠습니다.
너무 긴장하면 아무말도 못할 거예요.	너무 긴장하면 아무말도 못할 겁니다.
서로에게 가까운 곳에서 하고 보통 한정식집에서 하는데 어디서 하든 상관 없어요.	서로에게 가까운 곳에서 하고 보통 한정식집에서 하는데 어디서 하든 상관 없습니다.
찔러보는 상대 별로네요.	찔러보는 상대 별로입니다.
우연을 가장해서 여러 번 마주쳐보세요.	우연을 가장해서 여러 번 마주쳐보시지 말입니다.
관심이 없었다면 상메에도 없었을 거예요.	관심이 없었다면 상메에도 없었을 겁니다.
시간이 해결해 줄 거예요.	시간이 해결해 줄 겁니다.
사람에게 받은 상처는 사람으로 치유할 수 있을 거예요.	사람에게 받은 상처는 사람으로 치유할 수 있을 겁니다.
행복하세요.	행복하시지 말입니다.
좋은 사람 만날 거예요.	좋은 사람 만날 겁니다.
마음에 이끌리는대로 하세요.	마음에 이끌리는대로 하시지 말입니다.
좋아하나봐요.	좋아하나봅니다.
믿음이 더 필요해 보이네요.	믿음이 더 필요해 보입니다.
살아가는데 사랑이 큰 힘이 되지만, 모든걸 다 해결해주지는 않아요.	살아가는데 사랑이 큰 힘이 되지만, 모든걸 다 해결해주지는 않습니다.
기적같은 일이네요.	기적같은 일입니다.
운명이자 기적이죠.	운명이자 기적입니다.
착각이 아닐지도 몰라요.	착각이 아닐지도 모릅니다.
사랑 앞에 자존심은 소용이 없어요.	사랑 앞에 자존심은 소용이 없습니다.
쉽지 않은 일이죠.	쉽지 않은 일입니다.
안타깝게 생각해요.	안타깝게 생각합니다.
서로 다른 환경에서 살아왔기 때문이겠죠.	서로 다른 환경에서 살아왔기 때문입니다.
스스로 깨달을 수 있게 해주세요.	스스로 깨달을 수 있게 해주시지 말입니다.
무엇이 먼저든 마음만 있으면 돼요.	무엇이 먼저든 마음만 있으면 됩니다.
상대방에게 필요한 실용적인 선물이 좋을 거 같아요.	상대방에게 필요한 실용적인 선물이 좋을 거 같습니다.
호감이 있을 수도 있어요. 그렇지만 조금 더 상황을 지켜보세요.	호감이 있을 수도 있습니다. 그렇지만 조금 더 상황을 지켜보시지 말입니다.
사랑은 찾아나서는 노력이 필요해요.	사랑은 찾아나서는 노력이 필요합니다.
편한 사랑도 사랑이에요.	편한 사랑도 사랑입니다.
좋은 생각이에요.	좋은 생각입니다.
사랑하니까 당신이 필요한 거예요.	사랑하니까 당신이 필요한 겁니다.
감정소모가 심하긴 해요.	감정소모가 심하긴 합니다.
사람을 지치게 만들어서 그런가봐요.	사람을 지치게 만들어서 그런가봅니다.
사랑에 빠졌나봐요.	사랑에 빠졌나봅니다.
사랑에 빠졌나봐요.	사랑에 빠졌나봅니다.
서로가 동의한다면 상관 없어요.	서로가 동의한다면 상관 없습니다.
서로가 동의한다면 상관 없어요.	서로가 동의한다면 상관 없습니다.
아무래도 그렇죠.	아무래도 그렇습니다.
매력을 마음껏 어필해보세요.	매력을 마음껏 어필해보시지 말입니다.
자신을 사랑하고 자신에 대해 잘 아는 것.	자신을 사랑하고 자신에 대해 잘 아는 것.
좋은 사람 만나길 바랍니다.	좋은 사람 만나길 바랍니다.
나중에 안 들어와서 못하는 것보다 지금 해보시는 것도 좋을 거예요.	나중에 안 들어와서 못하는 것보다 지금 해보시는 것도 좋을 겁니다.
좀 더 알아볼 시간이 필요하겠네요.	좀 더 알아볼 시간이 필요하겠습니다.
해보는 것도 나쁘지 않을 거예요.	해보는 것도 나쁘지 않을 겁니다.
천천히 알아가보는 게 좋을 거 같아요.	천천히 알아가보는 게 좋을 거 같습니다.
썸 정도는 괜찮아요.	썸 정도는 괜찮습니다.
사람마다 다른 것 같아요. 생각할 시간이 필요할 수도 있겠죠?	사람마다 다른 것 같습니다. 생각할 시간이 필요할 수도 있을겁니다?
시간이 필요한 것 같아요.	시간이 필요한 것 같습니다.
조금 더 만나보고 결정하는 건 어떨까요?	조금 더 만나보고 결정하는 건 어떻겠습니까?
사람마다 다를 거예요.	사람마다 다를 겁니다.
사람에 따라 다르지 않을까요.	사람에 따라 다르지 않을까 말입니다.
직설적으로 통보하는 말보다는 조금 더 부드럽게 권유하고 물어보는 말을 해보세요.	직설적으로 통보하는 말보다는 조금 더 부드럽게 권유하고 물어보는 말을 해보시지 말입니다.
용기내서 잡아보세요.	용기내서 잡아보시지 말입니다.
수수한데 예쁜 여자라고 말해야죠.	수수한데 예쁜 여자라고 말해야합니다.
순수하고 불순한 게 나눠있지 않을 거예요.	순수하고 불순한 게 나눠있지 않을 겁니다.
술 마시고 전화하는 건 좀 그래요.	술 마시고 전화하는 건 좀 그렇습니다.
혹시 모르니 오라고 해보세요.	혹시 모르니 오라고 해보시지 말입니다.
취하지 않았을 때 연락하는게 좋긴 할 거예요.	취하지 않았을 때 연락하는게 좋긴 할 겁니다.
술 먹고 전화하는건 실례일 수 있어요.	술 먹고 전화하는건 실례일 수 있습니다.
확실하진 않지만 당신을 친근하게 생각하나봐요.	확실하진 않지만 당신을 친근하게 생각하나봅니다.
친절한 거랑 구별해볼 필요가 있어요.	친절한 거랑 구별해볼 필요가 있습니다.
술보다 사람이 먼저니까요.	술보다 사람이 먼저니 말입니다.
걱정을 하고 있을지도 몰라요.	걱정을 하고 있을지도 모릅니다.
축하해요.	축하합니다.
먼저 연락을 해보는 건 어떨까요?	먼저 연락을 해보는 건 어떻겠습니까?
직접 만나자고 연락해보세요.	직접 만나자고 연락해보시지 말입니다.
결혼준비 첫 발을 디뎠네요.	결혼준비 첫 발을 디디셨습니다.
부모님을 잘 설득해보세요.	부모님을 잘 설득해보시지 말입니다.
원치 않으면 싫다고 말하세요.	원치 않으면 싫다고 말하시지 말입니다.
두 사람이 준비가 되었을 때요.	두 사람이 준비가 되었을 때 말입니다.
서로 속도를 맞춰보세요.	서로 속도를 맞춰보시지 말입니다.
서로 속도를 맞춰보세요.	서로 속도를 맞춰보시지 말입니다.
대화를 하면서 속도를 맞춰보세요.	대화를 하면서 속도를 맞춰보시지 말입니다.
서로의 마음이 중요하겠죠.	서로의 마음이 중요하지 말입니다.
좀 더 대화가 필요해보이네요.	좀 더 대화가 필요해보입니다.
언제라는 건 정해져있지 않아요.	언제라는 건 정해져있지 않습니다.
하라는 공부는 안하고!	하라는 공부는 안하고 말입니다!
공부는 안하고!	공부는 안하고 말입니다!
결혼 준비는 선택의 연속이에요.	결혼 준비는 선택의 연속입니다.
예쁘게 찍고 오세요.	예쁘게 찍고 오시지 말입니다.
뭐든 열심히 하는 사람은 매력적이지요.	뭐든 열심히 하는 사람은 매력적입니다.
부담스럽겠어요.	부담스럽겠습니다.
남편이랑 이야기해보세요.	남편이랑 이야기해보시지 말입니다.
마인드 컨트롤을 하는게 중요하겠어요.	마인드 컨트롤을 하는게 중요하겠습니다.
신경 쓰이는 일이 생겼다니 조심하세요.	신경 쓰이는 일이 생겼다니 조심하시지 말입니다.
전혀 식상하지 않아요.	전혀 식상하지 않습니다.
마음 먹은 대로 할 수 있을 거예요.	마음 먹은 대로 할 수 있을 겁니다.
깨가 쏟아지고 있군요.	깨가 쏟아지고 있으십니다.
약간의 변화를 줘보세요.	약간의 변화를 줘보시지 말입니다.
깨 볶는 소리가 들리네요.	깨 볶는 소리가 들립니다.
못 가본 곳으로 가보세요.	못 가본 곳으로 가보시지 말입니다.
아예 다른 삶을 살다가 하루 아침에 같이 살게 된 거니까요.	아예 다른 삶을 살다가 하루 아침에 같이 살게 된 거이잖습니까.
서로에게 맞추는 과정이에요.	서로에게 맞추는 과정입니다.
사람 마음은 알다가도 모르니까 그럴 수 있어요.	사람 마음은 알다가도 모르니까 그럴 수 있습니다.
좀 더 호감을 표현해보세요.	좀 더 호감을 표현해보시지 말입니다.
딱히 좋지도 않나봐요.	딱히 좋지도 않나봅니다.
그건 직접 물어보기 전까지는 알기 힘들어요.	그건 직접 물어보기 전까지는 알기 힘듭니다.
평소 흘려 이야기했던 걸 기억해주고 생각하고 있다는 걸 알려주세요.	평소 흘려 이야기했던 걸 기억해주고 생각하고 있다는 걸 알려주시지 말입니다.
짧으면 짧을 수록 좋겠죠.	짧으면 짧을 수록 좋습니다.
사랑하게 된 이유를 써놓고 사랑이 힘겨울때 꺼내 읽어보세요.	사랑하게 된 이유를 써놓고 사랑이 힘겨울때 꺼내 읽어보시지 말입니다.
제대로 사과해야죠.	제대로 사과해야합니다.
감정이 상하면 싸우는 거죠.	감정이 상하면 싸우는 겁니다.
본 모습일지도 몰라요.	본 모습일지도 모릅니다.
사랑하게 된 이유를 써놓고 사랑이 힘겨울때 꺼내 읽어보세요.	사랑하게 된 이유를 써놓고 사랑이 힘겨울때 꺼내 읽어보시지 말입니다.
썸 타다가 발전되지 못한 관계죠.	썸 타다가 발전되지 못한 관계입니다.
당황 했겠어요.	당황 했겠습니다.
당당하게 다가가세요.	당당하게 다가가시지 말입니다.
고백 전 단계입니다.	고백 전 단계입니다.
당당하게 지내세요.	당당하게 지내시지 말입니다.
감정에 확신이 있다면 연락해보세요.	감정에 확신이 있다면 연락해보시지 말입니다.
고백이 답이죠.	고백이 답입니다.
사랑은 언제든 다시 시작해도 됩니다.	사랑은 언제든 다시 시작해도 됩니다.
섣부르게 판단하지 말고 연락해보세요.	섣부르게 판단하지 말고 연락해보시지 말입니다.
안 사귀면 끝이죠.	안 사귀면 끝입니다.
호감을 표시해보세요.	호감을 표시해보시지 말입니다.
간절한 마음이 그 분에게도 전해질 거예요.	간절한 마음이 그 분에게도 전해질 겁니다.
혹시 마음이 정리 됐나요? 그런게 아니라면 아직 끝내긴 아까워요. 용기를 내봐요.	혹시 마음이 정리 됐습니까? 그런게 아니라면 아직 끝내긴 아깝습니다. 용기를 내보시지 말입니다.
혹시 마음이 정리 됐나요? 그런게 아니라면 아직 끝내긴 아까워요. 용기를 내봐요.	혹시 마음이 정리 됐습니까? 그런게 아니라면 아직 끝내긴 아깝습니다. 용기를 내보시지 말입니다.
좋아하는 마음이 생각보다 컸나봐요.	좋아하는 마음이 생각보다 컸나봅니다.
의사는 표현하되 상대에게 부담되지 않는 선이 좋아요.	의사는 표현하되 상대에게 부담되지 않는 선이 좋습니다.
너무 길지 않나요.	너무 길지 않습니까.
말해보세요. 생각해 볼게요.	말해보시지 말입니다. 생각해 보겠습니다.
계속 연락하고 만나자고 해야 썸인 듯합니다.	계속 연락하고 만나자고 해야 썸인 듯합니다.
하기도 하죠.	하기도 합니다.
좋아하는 감정을 확인해보세요.	좋아하는 감정을 확인해보시지 말입니다.
일단 연락처를 주고 받고 부담스럽지 않는 선에서 친해지는게 좋아요.	일단 연락처를 주고 받고 부담스럽지 않는 선에서 친해지는게 좋습니다.
바람 피우는 건 아닌데 이미지가 안 좋아질 거 같아요.	바람 피우는 건 아닌데 이미지가 안 좋아질 거 같습니다.
끄는 건 별로겠죠.	끄는 건 별로일겁니다.
썸 기간이랑 사귀는 기간은 케이스 바이 케이스입니다.	썸 기간이랑 사귀는 기간은 케이스 바이 케이스입니다.
관계에 진전이 없거나 밀당인듯합니다.	관계에 진전이 없거나 밀당인듯합니다.
연락을 줄이고 안하는 거겠죠.	연락을 줄이고 안하는 겁니다.
좋으면 좋아한다고 말해보세요.	좋으면 좋아한다고 말해보시지 말입니다.
사람 마다 다르지 않을까요? 본인의 선택을 믿으세요.	사람 마다 다르지 않을까 말입니다? 본인의 선택을 믿으시지 말입니다.
먼저 연락해보세요.	먼저 연락해보시지 말입니다.
고백 안 하고 사귀기도 하니 직접적으로 물어보는 것이 좋을 듯합니다.	고백 안 하고 사귀기도 하니 직접적으로 물어보는 것이 좋을 듯합니다.
사귀기 전에 두근거림을 좋아하나 봐요.	사귀기 전에 두근거림을 좋아하나 봅니다.
먼저 다가가 보세요.	먼저 다가가 보시지 말입니다.
미련이 남으면 해봐도 돼요.	미련이 남으면 해봐도 됩니다.
굳이 말할 필요는 없는 거 같아요.	굳이 말할 필요는 없는 거 같습니다.
강제 정리 당한 거 같아요.	강제 정리 당한 거 같습니다.
함께 돕는 알바를 찾아보세요.	함께 돕는 알바를 찾아보시지 말입니다.
영화관이나 커피숍 추천해요.	영화관이나 커피숍 추천합니다.
아직 어색해서 그런거지 친해지면 자연스러워질거예요.	아직 어색해서 그런거지 친해지면 자연스러워질겁니다.
당당하게 나가세요.	당당하게 나가시지 말입니다.
얼른 고백해야죠.	얼른 고백해야합니다.
썸 탈 사람 없어서 못 타요.	썸 탈 사람 없어서 못 탑니다.
누구에게요?	누구에게 말입니까?
어떤 조언이 필요한가요? 생각해 볼게요.	어떤 조언이 필요합니까? 생각해 보겠습니다.
그냥 사귀세요.	그냥 사귀시지 말입니다.
썸 타기 좋은 계절이에요.	썸 타기 좋은 계절입니다.
정해져 있지는 않지만 발전된 관계가 좋겠죠.	정해져 있지는 않지만 발전된 관계가 좋습니다.
한달 안쪽? 너무 길면 힘드니까요.	한달 안쪽? 너무 길면 힘드니 말입니다.
은연 중에 연락을 기다리고 있었나봐요.	은연 중에 연락을 기다리고 있었나봅니다.
썸 탈 때 듣기 딱이죠.	썸 탈 때 듣기 딱입니다.
일단 연락처를 주고 받고 부담스럽지 않는 선에서 친해지는게 좋아요.	일단 연락처를 주고 받고 부담스럽지 않는 선에서 친해지는게 좋습니다.
어느 것이든 자신이 좋아하고 어울리는 옷이 좋아요.	어느 것이든 자신이 좋아하고 어울리는 옷이 좋습니다.
연락해보세요.	연락해보시지 말입니다.
서로에게 부담 없는 작은 선물이 좋아요.	서로에게 부담 없는 작은 선물이 좋습니다.
서로에게 부담 없는 작은 선물이 좋아요.	서로에게 부담 없는 작은 선물이 좋습니다.
그 분이 평소 좋아한다고 했던 것을 잘 생각해 보세요.	그 분이 평소 좋아한다고 했던 것을 잘 생각해 보시지 말입니다.
원하는 향 알면 좋을 거 같아요.	원하는 향 알면 좋을 거 같습니다.
저는 '설레'라고 저장할래요.	저는 '설레'라고 저장하겠습니다.
어떤 부분이 망설여지는지 말씀해보세요.	어떤 부분이 망설여지는지 말씀해보시지 말입니다.
사귀기 전에는 다 불안해요.	사귀기 전에는 다 불안합니다.
어머 벌써 그런 생각을 하셨군요.	어머 벌써 그런 생각을 하셨습니까.
칭찬은 언제든 듣기 좋죠.	칭찬은 언제든 듣기 좋습니다.
봐달라는 거겠죠.	봐달라는 겁니다.
즐거운 데이트 하길 바랄게요.	즐거운 데이트 하길 바랍니다.
영통 걸어도 되는지 물어보고 걸어보세요.	영통 걸어도 되는지 물어보고 걸어보시지 말입니다.
당장 연락해보세요.	당장 연락해보시지 말입니다.
너무 편한 거 같다고 말해보세요.	너무 편한 거 같다고 말해보시지 말입니다.
사귀고 가는 게 좋을 거 같아요.	사귀고 가는 게 좋을 거 같습니다.
사귀고 나서 간섭 가능합니다.	사귀고 나서 간섭 가능합니다.
사귀면 더 하겠네요.	사귀면 더 하겠습니다.
밀당을 하고 싶으시군요.	밀당을 하고 싶으십니까.
'잘자요', '내일도 보고싶어요' 라고 하는 건 어떨까요?	'잘자요', '내일도 보고싶어요' 라고 하는 건 어떻겠습니까?
사람마다 다르겠지요.	사람마다 다릅니다.
말해보세요.	말해보시지 말입니다.
편한 옷차림도 괜찮지만 어느 정도 격식은 차리는 게 좋아요.	편한 옷차림도 괜찮지만 어느 정도 격식은 차리는 게 좋습니다.
우리가 아직 사귀는 사이가 아닌데 별로 기분은 안 좋은 거 같다고 말해봐요.	우리가 아직 사귀는 사이가 아닌데 별로 기분은 안 좋은 거 같다고 말해보시지 말입니다.
부럽네요!	부럽습니다!
한번 봐봐요.	한번 봐보시지 말입니다.
사진 검색 해봐요.	사진 검색 해보시지 말입니다.
은연 중에 연락을 기다리고 있었나봐요.	은연 중에 연락을 기다리고 있었나봅니다.
벚꽃 놀이 좋죠!	벚꽃 놀이 좋습니다!
슬픈 상황이네요.	슬픈 상황입니다.
각자 내는 게 깔끔하죠.	각자 내는 게 깔끔합니다.
만나서 극복하세요.	만나서 극복하시지 말입니다.
좋은 사람이 아닌 것 같아요. 입장을 분명히 하는 것 좋아요.	좋은 사람이 아닌 것 같습니다. 입장을 분명히 하는 것 좋습니다.
만남에 무슨 문제가 있었나요?	만남에 무슨 문제가 있었습니까?
만남에 무슨 문제가 있었나요?	만남에 무슨 문제가 있었습니까?
그러면 얼른 쟁취하세요.	그러면 얼른 쟁취하시지 말입니다.
잘되고싶다면 자제하는 것도 한 방법이겠죠.	잘되고싶다면 자제하는 것도 한 방법일겁니다.
좋아하는 마음이라면 이해해보세요.	좋아하는 마음이라면 이해해보시지 말입니다.
좋아하는 감정에는 다양한 방식이 있어요. 차분히 생각해 보는건 어떨까요?	좋아하는 감정에는 다양한 방식이 있습니다. 차분히 생각해 보는건 어떻겠습니까?
말해보세요. 생각해 볼게요.	말해보시지 말입니다. 생각해 보겠습니다.
기본적인 시간 약속을 우습게 여기는 사람은 만나지 않는 게 좋을 거 같아요.	기본적인 시간 약속을 우습게 여기는 사람은 만나지 않는 게 좋을 거 같습니다.
신경 쓰이겠어요. 기분 전환 하고 오세요.	신경 쓰이겠습니다. 기분 전환 하고 오시지 말입니다.
좋아함을 점프했네요.	좋아함을 점프했습니다.
가고 싶은 곳이 있는지 연락해 보세요.	가고 싶은 곳이 있는지 연락해 보시지 말입니다.
사람마다 차이가 있어요.	사람마다 차이가 있습니다.
사람마다 정도는 다르지만 정확하게 의사 표현하는 것이 중요해요.	사람마다 정도는 다르지만 정확하게 의사 표현하는 것이 중요합니다.
썸만 타는데 왜 현타가 오는지 모르겠네요.	썸만 타는데 왜 현타가 오는지 모르겠습니다.
자연스러운 현상이에요.	자연스러운 현상입니다.
썸은 짧은 게 좋습니다.	썸은 짧은 게 좋습니다.
감정에 확신이 있다면 연락해보세요.	감정에 확신이 있다면 연락해보시지 말입니다.
감정에 확신이 있다면 연락해보세요.	감정에 확신이 있다면 연락해보시지 말입니다.
속 타 죽기 전에 표현해보세요.	속 타 죽기 전에 표현해보시지 말입니다.
지친 거 티내보세요.	지친 거 티내보시지 말입니다.
상대방이 부담스럽지 않을까요?	상대방이 부담스럽지 않을까 말입니다?
연애에 대한 두려움을 가지고 있을 수도 있을 듯 합니다.	연애에 대한 두려움을 가지고 있을 수도 있을 듯 합니다.
썸이 흐지부지 끝난 거 같아요.	썸이 흐지부지 끝난 거 같습니다.
애매함이 좋은지 생각해보세요.	애매함이 좋은지 생각해보시지 말입니다.
썸 중인데 매너가 없네요.	썸 중인데 매너가 없습니다.
부담되면 마음이 가지 않는 거니 정리도 필요하겠네요.	부담되면 마음이 가지 않는 거니 정리도 필요하겠습니다.
바쁘거나 썸이 끝났거나겠죠.	바쁘거나 썸이 끝났거나일겁니다.
